S1 OFFICE BACK:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE CORE:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE FRONT:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE LEFT:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE RIGHT:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE BACK:Zone Infiltration Air Change Rate [ach](Hourly),S1 OFFICE CORE:Zone Infiltration Air Change Rate [ach](Hourly),S1 OFFICE FRONT:Zone Infiltration Air Change Rate [ach](Hourly),S1 OFFICE LEFT:Zone Infiltration Air Change Rate [ach](Hourly),S1 OFFICE RIGHT:Zone Infiltration Air Change Rate [ach](Hourly)
0.053050732,0.005196157,0.053018385,0.05305299,0.053052361,0,0,0,0,0
4.27E-15,0,1.87E-15,2.99E-15,0,0,0,0,0,0
0,0,0,0,8.20E-15,0,0,0,0,0
2.36E-15,0,5.39E-15,4.03E-15,3.77E-15,0,0,0,0,0
4.69E-15,0,4.70E-15,3.74E-15,0,0,0,0,0,0
0,0.04419614,0,0,0,0,0,0,0,0
0.056335966,0.118353987,0.056362674,0.056319252,0.05632053,0,0,0,0,0
0.046601949,0.092816065,0.046628923,0.04657521,0.046566956,0,0,0,0,0
0.391921534,0.329216236,0.391914435,0.391923002,0.391913866,0,0,0,0,0
0.248857234,0.16287799,0.248918822,0.248808081,0.248840201,0,0,0,0,0
0.196441077,0.157699494,0.196540065,0.196367084,0.196419251,0,0,0,0,0
0.44568591,0.366360984,0.44569335,0.445695597,0.445693036,0,0,0,0,0
0.065850985,0.103067695,0.065851021,0.065845841,0.065851179,0,0,0,0,0
0.087844043,0.122732366,0.087853963,0.087839836,0.087844414,0,0,0,0,0
0.095368737,0.13402428,0.095373493,0.095368765,0.09536779,0,0,0,0,0
0.10246704,0.144262635,0.102472061,0.102471584,0.102467464,0,0,0,0,0
0.094111395,0.132741208,0.094118176,0.09411455,0.094111578,0,0,0,0,0
0.00843935,0.080576993,0.008438711,0.008440664,0.008440448,0,0,0,0,0
0.036603526,0.076040714,0.036606002,0.036601503,0.03660319,0,0,0,0,0
0.001684373,0,0.00168257,0.001684805,0.001684332,0,0,0,0,0
3.52E-15,0,7.01E-16,0,1.12E-15,0,0,0,0,0
2.57E-15,0,0,0,1.02E-15,0,0,0,0,0
3.22E-15,0.000570966,6.58E-16,1.02E-15,5.06E-16,0,0,0,0,0
2.39E-15,0,0,0,2.36E-15,0,0,0,0,0
2.69E-15,0,5.37E-16,8.60E-16,8.62E-16,0,0,0,0,0
2.68E-15,0,1.61E-15,0,2.14E-15,0,0,0,0,0
3.00E-15,0,5.16E-16,3.99E-16,1.58E-15,0,0,0,0,0
2.34E-15,0,0,3.66E-16,3.83E-16,0,0,0,0,0
1.82E-15,0,4.57E-16,0,7.29E-16,0,0,0,0,0
0,0.033327106,0,0,0,0,0,0,0,0
0.040301729,0.089456589,0.040300593,0.040302828,0.040302848,0,0,0,0,0
0.045333684,0.079635937,0.045330672,0.045333742,0.045336947,0,0,0,0,0
0.061921282,0.096780903,0.061913904,0.061920481,0.061927012,0,0,0,0,0
0.070230042,0.103620471,0.070214956,0.070229094,0.070229447,0,0,0,0,0
0.065719875,0.094189286,0.065688974,0.065717732,0.065699212,0,0,0,0,0
0.057205912,0.073069104,0.057146335,0.057204202,0.057164743,0,0,0,0,0
0.054824713,0.067555078,0.054787636,0.05482421,0.054784252,0,0,0,0,0
0.050907205,0.057976552,0.050854016,0.050910621,0.050891772,0,0,0,0,0
0.04948908,0.068248416,0.049431969,0.049489574,0.049477344,0,0,0,0,0
0.045886549,0.077541247,0.0458427,0.04589967,0.045874911,0,0,0,0,0
0.056066247,0.080053604,0.056009061,0.056075503,0.056054546,0,0,0,0,0
0.065266012,0.081806235,0.06516122,0.065243334,0.065247418,0,0,0,0,0
0.000865077,0,0.000862004,0.000863837,0.0008652,0,0,0,0,0
2.50E-15,0,1.87E-15,1.49E-15,9.91E-16,0,0,0,0,0
1.79E-15,0.000365347,2.37E-15,4.81E-16,1.45E-15,0,0,0,0,0
1.90E-15,0,2.55E-15,5.08E-16,1.52E-15,0,0,0,0,0
1.23E-15,0.000363637,1.85E-15,1.45E-15,5.01E-16,0,0,0,0,0
1.12E-15,0,2.77E-15,4.32E-16,1.75E-15,0,0,0,0,0
4.497659192,4.374012338,4.495707572,4.496708837,4.497554177,2.602228121,2.605008892,2.608054006,2.604594505,2.603631018
2.893143323,2.450152311,2.892673267,2.892972372,2.893305541,2.593098095,2.595025842,2.598432352,2.595404763,2.594454738
3.050666356,2.562635995,3.049783929,3.050368926,3.050768066,2.598963789,2.600804612,2.603987788,2.601183608,2.600257779
4.160074544,2.888350315,4.158057253,4.159248696,4.159975524,2.608001223,2.609417513,2.612784012,2.610199,2.609292133
3.857433147,0.933492663,3.823203078,3.850888124,3.855959483,2.60703937,2.608296866,2.611541479,2.609163748,2.608294119
3.51263706,2.451591559,3.510264273,3.511562923,3.512322162,2.607887775,2.609805501,2.611941227,2.60974444,2.60895606
2.716767745,2.492795629,2.715851512,2.71641296,2.716674331,2.611427781,2.613340075,2.615232052,2.613187615,2.612426646
0.524998174,0.44729025,0.52509467,0.524988641,0.524992297,0.791416098,0.79286997,0.792621745,0.791877221,0.791735871
0.237746374,0.18692688,0.240296506,0.238618005,0.238412577,0.792190489,0.794199955,0.793843655,0.792635198,0.793033285
1.33647685,1.075076769,1.33749761,1.336713282,1.336941981,0.78866398,0.790951975,0.791253768,0.78909087,0.790005122
0.741365404,0.686789294,0.742988774,0.74160286,0.741873415,0.786617263,0.789194541,0.790744959,0.787011814,0.788096448
1.58811388,1.293676254,1.58883824,1.588111358,1.588261772,0.783732804,0.786645913,0.789334608,0.784116067,0.784649964
