Date/Time,S1 OFFICE BACK:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE CORE:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE FRONT:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE LEFT:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE RIGHT:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly)
 01/10  05:00:00,0,0,0,0,0
 01/10  06:00:00,0,0,0,0,0
 01/10  07:00:00,0,0,0,0,0
 01/10  08:00:00,0,0,0,0,0
 01/10  09:00:00,0,0.008238863,0,0,0
 01/10  10:00:00,0,0,0,0,0
 01/10  11:00:00,0,0,0,0,0
 01/10  12:00:00,0,0,0,0,0
 01/10  13:00:00,0,0.004551651,0,0,0
 01/10  14:00:00,0,0.027988911,0,0,0
 01/10  15:00:00,0,0.057227721,0,0,0
 01/10  16:00:00,0,0.064860239,0.000863074,0,0
 01/10  17:00:00,0,0.063807052,0.015135774,0,0
 01/10  18:00:00,0.00108155,0.04154758,0.020154285,0.001232077,0.000790428
 01/10  19:00:00,0,0,0,0,0
 01/10  20:00:00,0,0.003048635,0.000835393,0,0
 01/10  21:00:00,0,0,0,0,0
 01/10  22:00:00,0,0,0,0,0
 01/10  23:00:00,0,0,0,0,0
 01/10  24:00:00,0,0,0,0,0
 01/11  01:00:00,0,0,0,0,0
 01/11  02:00:00,0,0,0,0,0
 01/11  03:00:00,0,0,0,0,0
 01/11  04:00:00,0,0,0,0,0
 01/11  05:00:00,0,0,0,0,0
 01/11  06:00:00,0,0,0,0,0
 01/11  07:00:00,0,0,0,0,0
 01/11  08:00:00,0,0,0,0,0
 01/11  09:00:00,0,0,0,0,0
 01/11  10:00:00,0,0,0,0,0
 01/11  11:00:00,0,0,0,0,0
 01/11  12:00:00,0,0,0,0,0
 01/11  13:00:00,0,0,0,0,0
 01/11  14:00:00,0,0,0,0,0
 01/11  15:00:00,0,0,0,0,0
 01/11  16:00:00,0,0.001526023,0,0,0
 01/11  17:00:00,0,0.004199064,0,0,0
 01/11  18:00:00,0,0,0,0,0
 01/11  19:00:00,0,0.007330757,0.000767675,0,0
 01/11  20:00:00,0,0,0,0,0
 01/11  21:00:00,0,0,0,0,0
 01/11  22:00:00,0,0,0,0,0
 01/11  23:00:00,0,0,0,0,0
 01/11  24:00:00,0,0,0,0,0
 01/12  01:00:00,2.576422902,2.799653017,2.585461363,2.552888301,2.550076238
 01/12  02:00:00,2.257881852,2.435582393,2.267715321,2.244511255,2.242985425
 01/12  03:00:00,2.266830122,2.44391096,2.274838434,2.252298181,2.251362035
 01/12  04:00:00,2.256840809,2.430866401,2.262515949,2.241505435,2.241240888
 01/12  05:00:00,2.253424869,2.42772964,2.257210113,2.2372706,2.237449194
 01/12  06:00:00,1.868510756,2.058437645,1.869851606,1.851579042,1.85222534
 01/12  07:00:00,1.947281536,2.133578486,1.948516702,1.930570498,1.931357549
 01/12  08:00:00,0.240478762,0.350115394,0.242783985,0.233293972,0.23148215
 01/12  09:00:00,0.477716345,0.624932993,0.474684698,0.463756336,0.459672764
 01/12  10:00:00,0.624890414,0.783931301,0.61348596,0.60776227,0.603283737
 01/12  11:00:00,0.503391692,0.671941041,0.492921,0.485733434,0.486115644
 01/12  12:00:00,0.677873941,0.839920488,0.666285277,0.661204745,0.66656119
 01/12  13:00:00,0.623639397,0.783708,0.615799527,0.605202826,0.616268125
 01/12  14:00:00,0.599129658,0.755336837,0.595501425,0.578954842,0.594244816
 01/12  15:00:00,0.737900424,0.882825092,0.739473195,0.716095725,0.733028778
 01/12  16:00:00,0.775966623,0.903883549,0.784091161,0.754897286,0.770951799
 01/12  17:00:00,0.686418725,0.809312739,0.698999896,0.665227579,0.681433841
 01/12  18:00:00,0.667888293,0.792393957,0.698362923,0.668172222,0.666808288
 01/12  19:00:00,0.555239907,0.683802762,0.587951049,0.556410674,0.552601152
 01/12  20:00:00,2.343417033,2.524453174,2.372377085,2.34276136,2.333678782
 01/12  21:00:00,2.058611809,2.223330806,2.087954128,2.060823292,2.050651221
 01/12  22:00:00,2.051700294,2.218848012,2.077977419,2.051766574,2.042624263
 01/12  23:00:00,2.005866172,2.175155438,2.029903593,2.004527119,1.996294422
 01/12  24:00:00,1.934030989,2.110327077,1.955481242,1.930762244,1.923236543
 01/13  01:00:00,2.256468552,2.420701806,2.275556215,2.25183489,2.244837527
 01/13  02:00:00,2.22600151,2.391148131,2.24263584,2.22015583,2.213964613
 01/13  03:00:00,2.224637213,2.390014852,2.239392125,2.21780571,2.212129017
 01/13  04:00:00,2.222399313,2.387806909,2.235478208,2.214730993,2.209449767
 01/13  05:00:00,2.21950592,2.385147564,2.231238183,2.211251351,2.206332616
 01/13  06:00:00,1.832952413,2.010616522,1.840799942,1.823734469,1.819272057
 01/13  07:00:00,1.865885074,2.043356149,1.873833442,1.856461409,1.851827121
 01/13  08:00:00,0.217488177,0.321447378,0.221071355,0.209962082,0.202443204
 01/13  09:00:00,0.417954593,0.584870258,0.404952264,0.400498413,0.378950727
 01/13  10:00:00,0.603654059,0.771240439,0.56286691,0.589868244,0.558745354
 01/13  11:00:00,0.447227495,0.623866064,0.341772104,0.430834577,0.399612183
 01/13  12:00:00,0.632568369,0.811189795,0.492180605,0.615726057,0.631306669
 01/13  13:00:00,0.560024134,0.76057396,0.459903207,0.527284006,0.584567652
 01/13  14:00:00,0.666681828,0.849549777,0.675767579,0.624133602,0.702823659
 01/13  15:00:00,0.839162822,0.994507401,0.863853188,0.758400515,0.877416201
 01/13  16:00:00,0.893475505,1.042648041,0.972219255,0.799128836,0.936092296
 01/13  17:00:00,0.81200873,0.94414711,1.007099217,0.812732246,0.85156749
 01/13  18:00:00,0.87562211,0.986042848,1.110419963,0.945683742,0.907637954
 01/13  19:00:00,0.773588833,0.870104456,1.042263663,0.867342138,0.801830506
 01/13  20:00:00,2.467313877,2.617763841,2.832115244,2.627916519,2.495297948
 01/13  21:00:00,2.195018904,2.319819069,2.536535004,2.35374271,2.234162492
 01/13  22:00:00,2.172314967,2.293310829,2.466991509,2.30724389,2.205928918
 01/13  23:00:00,2.104841174,2.2266711,2.377262064,2.227748721,2.136338733
 01/13  24:00:00,2.04160156,2.16865138,2.299143364,2.155638771,2.071039037
 01/14  01:00:00,2.329340864,2.446599987,2.542168053,2.424357456,2.350756636
 01/14  02:00:00,2.314234019,2.432172334,2.506089266,2.398205862,2.332787853
 01/14  03:00:00,2.320273157,2.437668395,2.489503145,2.393092093,2.335651164
 01/14  04:00:00,2.291485096,2.415541323,2.450716269,2.358739273,2.304968629
 01/14  05:00:00,2.161744177,2.313269541,2.334283435,2.231459952,2.174395162
 01/14  06:00:00,1.542166237,1.78088442,1.775489795,1.642217245,1.572161043
 01/14  07:00:00,1.599615193,1.877647619,1.829795181,1.710000172,1.628380507
 01/14  08:00:00,0.125712813,0.274515465,0.214418084,0.155155291,0.109719951
 01/14  09:00:00,0.220789726,0.470512642,0.303894839,0.271398899,0.160290752
 01/14  10:00:00,0.476401156,0.792832851,0.525529477,0.517819262,0.421388212
 01/14  11:00:00,0.118262231,0.550329387,0.166206362,0.156152808,0.128541935
 01/14  12:00:00,0.664551997,1.056144545,0.468491035,0.683181628,0.759316317
 01/14  13:00:00,0.594844529,1.036772992,0.549711431,0.596536496,0.77084323
 01/14  14:00:00,0.785980176,1.15522157,0.941227339,0.747273309,0.961499629
 01/14  15:00:00,1.228106891,1.465186571,1.397026233,1.16294117,1.379020782
 01/14  16:00:00,1.29973847,1.446852858,1.550317984,1.300550407,1.415370308
 01/14  17:00:00,1.090695597,1.213121987,1.394760811,1.136446474,1.19951172
 01/14  18:00:00,1.139122681,1.250545163,1.432478765,1.187358989,1.217092575
 01/14  19:00:00,0.913856149,0.984601708,1.207349245,0.966899702,0.983653087
 01/14  20:00:00,2.668503216,2.79346703,3.051957822,2.738170728,2.760896532
 01/14  21:00:00,2.375660004,2.482895607,2.75221956,2.448923384,2.476121828
 01/14  22:00:00,2.33555998,2.448533791,2.680538171,2.400081519,2.426730304
 01/14  23:00:00,2.2767908,2.398981066,2.608236707,2.338209911,2.364866218
 01/14  24:00:00,2.284949505,2.395870551,2.564146942,2.336341092,2.359637458
 01/15  01:00:00,2.296069516,2.372933523,2.499578417,2.332027436,2.352100947
 01/15  02:00:00,2.22971898,2.315119056,2.427337584,2.263062616,2.28294161
 01/15  03:00:00,2.23580087,2.325674436,2.4145468,2.263735097,2.282431152
 01/15  04:00:00,2.230398959,2.323876981,2.387099367,2.253212448,2.270122041
 01/15  05:00:00,2.229381094,2.326275248,2.3659361,2.247431373,2.262698264
 01/15  06:00:00,2.156170095,2.283115807,2.309241606,2.17650019,2.190714456
 01/15  07:00:00,2.179269776,2.303921506,2.305511126,2.193262829,2.205557844
 01/15  08:00:00,0.426435082,0.505713138,0.494746155,0.43248045,0.43848582
 01/15  09:00:00,1.053714503,1.126769329,1.098380812,1.058029457,1.053539869
 01/15  10:00:00,0.784247395,0.890433416,0.791879898,0.781930717,0.764922174
 01/15  11:00:00,0.937515961,1.039622909,0.948836311,0.931590344,0.9307936
 01/15  12:00:00,0.99912827,1.09602041,0.994832272,0.991734849,1.004149066
 01/15  13:00:00,0.968860876,1.058968356,0.943103411,0.958480547,0.979724594
 01/15  14:00:00,0.969342237,1.052191694,0.990594904,0.957383789,0.980829913
 01/15  15:00:00,1.077384043,1.153628548,1.11182014,1.067247672,1.088553098
 01/15  16:00:00,1.031271039,1.102398854,1.076607738,1.023970982,1.041244606
 01/15  17:00:00,1.094890789,1.145179982,1.135487743,1.088976641,1.101522462
 01/15  18:00:00,0.875398197,0.936501274,0.898887244,0.87440883,0.882935124
 01/15  19:00:00,0.831557124,0.896266561,0.856721299,0.822821399,0.830605971
 01/15  20:00:00,2.633203073,2.751097507,2.673010252,2.621962468,2.635171502
 01/15  21:00:00,2.361227426,2.442946918,2.393374801,2.353646401,2.364718736
 01/15  22:00:00,2.364480085,2.44511145,2.388588589,2.355925603,2.365140647
 01/15  23:00:00,2.316942008,2.391487266,2.335504662,2.308652045,2.316368171
 01/15  24:00:00,2.247344272,2.322153442,2.262603987,2.239055141,2.246004704
 01/16  01:00:00,2.411545435,2.488192284,2.412112021,2.398585459,2.403540646
 01/16  02:00:00,2.373043614,2.455013067,2.371639661,2.359836224,2.364212141
 01/16  03:00:00,2.380760079,2.468399508,2.376707185,2.366855875,2.370348334
 01/16  04:00:00,2.380607859,2.471414738,2.37443868,2.366466203,2.369549378
 01/16  05:00:00,2.361545912,2.457157594,2.353428481,2.347039169,2.349192345
 01/16  06:00:00,2.071622468,2.174037742,2.070888635,2.060155921,2.062612042
 01/16  07:00:00,2.048105876,2.16396796,2.044863934,2.035251265,2.036901413
 01/16  08:00:00,0.342565309,0.415693689,0.349786347,0.336887953,0.337336858
 01/16  09:00:00,0.705051898,0.782864391,0.703072232,0.696517395,0.694050808
 01/16  10:00:00,0.624889211,0.735788899,0.606329435,0.611671259,0.603427402
