Date/Time,Electricity:Facility [J](Hourly),Gas:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly) 
 04/16  24:00:00,13999057.961957103,0.0,13999057.961957103 
 04/17  01:00:00,17742654.45740009,0.0,17742654.457400085 
 04/17  02:00:00,17742654.45740009,0.0,17742654.457400085 
 04/17  03:00:00,17742654.45740009,0.0,17742654.457400085 
 04/17  04:00:00,17742654.45740009,0.0,17742654.457400085 
 04/17  05:00:00,18733023.90063898,0.0,18733023.900638977 
 04/17  06:00:00,22552679.870873799,0.0,22552679.870873799 
 04/17  07:00:00,26720734.855099057,0.0,26720734.85509906 
 04/17  08:00:00,48648695.76065557,0.0,48648695.760655578 
 04/17  09:00:00,51456943.89182809,0.0,51456943.89182809 
 04/17  10:00:00,53552023.25750954,0.0,53552023.25750953 
 04/17  11:00:00,56110522.036114569,0.0,56110522.036114569 
 04/17  12:00:00,54251218.37232123,0.0,54251218.37232122 
 04/17  13:00:00,59194339.990008238,0.0,59194339.99000822 
 04/17  14:00:00,60496261.65459364,0.0,60496261.65459365 
 04/17  15:00:00,61549669.38695887,0.0,61549669.38695887 
 04/17  16:00:00,60933437.2961626,0.0,60933437.2961626 
 04/17  17:00:00,44894427.05601449,0.0,44894427.056014489 
 04/17  18:00:00,20403091.58069133,0.0,20403091.58069133 
 04/17  19:00:00,16792031.289526337,0.0,16792031.289526337 
 04/17  20:00:00,16772092.40304857,0.0,16772092.403048566 
 04/17  21:00:00,16772092.40304857,0.0,16772092.40304857 
 04/17  22:00:00,14989427.405195989,0.0,14989427.405195989 
 04/17  23:00:00,13999057.961957103,0.0,13999057.961957103 
 04/17  24:00:00,17742654.45740009,0.0,17742654.457400085 
 04/18  01:00:00,17742654.45740009,0.0,17742654.457400085 
 04/18  02:00:00,17742654.45740009,0.0,17742654.457400085 
 04/18  03:00:00,17742654.45740009,0.0,17742654.457400085 
 04/18  04:00:00,17742654.45740009,0.0,17742654.457400085 
 04/18  05:00:00,18733023.90063898,0.0,18733023.900638977 
 04/18  06:00:00,22164709.9795176,0.0,22164709.979517599 
 04/18  07:00:00,26165244.94284776,0.0,26165244.94284776 
 04/18  08:00:00,49415577.5553399,0.0,49415577.55533989 
 04/18  09:00:00,52673505.960340518,0.0,52673505.96034051 
 04/18  10:00:00,54575347.83342211,0.0,54575347.83342211 
 04/18  11:00:00,57741134.46079293,0.0,57741134.46079293 
 04/18  12:00:00,56078665.61300719,0.0,56078665.61300719 
 04/18  13:00:00,61715692.3684578,0.0,61715692.368457797 
 04/18  14:00:00,63602004.85210945,0.0,63602004.85210945 
 04/18  15:00:00,63650514.096049848,0.0,63650514.096049848 
 04/18  16:00:00,60892951.643108937,0.0,60892951.643108937 
 04/18  17:00:00,44680812.03851253,0.0,44680812.03851252 
 04/18  18:00:00,20403091.58069133,0.0,20403091.58069133 
 04/18  19:00:00,16792031.289526337,0.0,16792031.289526337 
 04/18  20:00:00,16772092.40304857,0.0,16772092.40304857 
 04/18  21:00:00,16772092.40304857,0.0,16772092.40304857 
 04/18  22:00:00,14989427.405195989,0.0,14989427.405195989 
 04/18  23:00:00,13999057.961957103,0.0,13999057.961957103 
 04/18  24:00:00,17742654.45740009,0.0,17742654.457400085 
 04/19  01:00:00,17742654.45740009,0.0,17742654.457400089 
 04/19  02:00:00,17742654.45740009,0.0,17742654.457400085 
 04/19  03:00:00,17742654.45740009,0.0,17742654.457400085 
 04/19  04:00:00,17742654.45740009,0.0,17742654.457400085 
 04/19  05:00:00,18733023.90063898,0.0,18733023.900638977 
 04/19  06:00:00,21642552.10382683,0.0,21642552.103826826 
 04/19  07:00:00,24398385.593168364,0.0,24398385.593168364 
 04/19  08:00:00,42389827.30540673,0.0,42389827.30540672 
 04/19  09:00:00,44367304.50529148,0.0,44367304.50529148 
 04/19  10:00:00,45909925.10160435,0.0,45909925.10160435 
 04/19  11:00:00,46818349.424815859,0.0,46818349.424815859 
 04/19  12:00:00,42691896.36453761,0.0,42691896.364537607 
 04/19  13:00:00,47573283.11959844,0.0,47573283.11959843 
 04/19  14:00:00,47664202.427330438,0.0,47664202.427330438 
 04/19  15:00:00,47589041.03467825,0.0,47589041.03467825 
 04/19  16:00:00,46618915.18019697,0.0,46618915.18019696 
 04/19  17:00:00,29740060.606810675,0.0,29740060.606810679 
 04/19  18:00:00,20403091.58069133,0.0,20403091.580691328 
 04/19  19:00:00,15811631.289526338,0.0,15811631.289526334 
 04/19  20:00:00,16772092.40304857,0.0,16772092.40304857 
 04/19  21:00:00,16772092.40304857,0.0,16772092.40304857 
 04/19  22:00:00,14989427.405195989,0.0,14989427.405195989 
 04/19  23:00:00,13999057.961957103,0.0,13999057.961957103 
 04/19  24:00:00,17742654.45740009,0.0,17742654.457400085 
 04/20  01:00:00,17742654.45740009,0.0,17742654.457400085 
 04/20  02:00:00,17742654.45740009,0.0,17742654.457400085 
 04/20  03:00:00,17742654.45740009,0.0,17742654.457400085 
 04/20  04:00:00,17742654.45740009,0.0,17742654.457400085 
 04/20  05:00:00,18733023.90063898,0.0,18733023.900638977 
 04/20  06:00:00,28961758.14829826,0.0,28961758.14829826 
 04/20  07:00:00,32622856.00684003,0.0,32622856.00684003 
 04/20  08:00:00,41499145.38380329,0.0,41499145.383803289 
 04/20  09:00:00,40119240.17046345,0.0,40119240.17046345 
 04/20  10:00:00,39944155.115122217,0.0,39944155.115122217 
 04/20  11:00:00,39897186.180095378,0.0,39897186.180095378 
 04/20  12:00:00,37164104.03806623,0.0,37164104.03806623 
 04/20  13:00:00,39893562.22363258,0.0,39893562.22363259 
 04/20  14:00:00,39893562.22363258,0.0,39893562.22363258 
 04/20  15:00:00,39893562.22363258,0.0,39893562.22363258 
 04/20  16:00:00,40116297.84367358,0.0,40116297.84367358 
 04/20  17:00:00,29147037.17538942,0.0,29147037.17538942 
 04/20  18:00:00,20966423.576741648,0.0,20966423.576741648 
 04/20  19:00:00,15811631.289526338,0.0,15811631.289526336 
 04/20  20:00:00,16772092.40304857,0.0,16772092.40304857 
 04/20  21:00:00,16772092.40304857,0.0,16772092.40304857 
 04/20  22:00:00,14989427.405195989,0.0,14989427.405195989 
 04/20  23:00:00,13999057.961957103,0.0,13999057.961957103 
 04/20  24:00:00,17742654.45740009,0.0,17742654.457400085 
 04/21  01:00:00,17742654.45740009,0.0,17742654.457400085 
 04/21  02:00:00,17742654.45740009,0.0,17742654.457400085 
 04/21  03:00:00,18192654.45740009,0.0,18192654.457400085 
 04/21  04:00:00,18642654.45740009,0.0,18642654.457400089 
 04/21  05:00:00,19633023.90063898,0.0,19633023.900638977 
 04/21  06:00:00,33971287.756525848,3796438.799212924,33971287.75652584 
 04/21  07:00:00,38405332.05297365,0.0,38405332.05297365 
 04/21  08:00:00,45296096.19444079,0.0,45296096.19444078 
 04/21  09:00:00,44929065.675336699,0.0,44929065.67533669 
 04/21  10:00:00,43560194.65169944,0.0,43560194.65169943 
 04/21  11:00:00,42210400.5435664,0.0,42210400.54356639 
 04/21  12:00:00,41900688.56740551,0.0,41900688.56740551 
 04/21  13:00:00,40887691.58296411,0.0,40887691.58296411 
 04/21  14:00:00,40904586.37690813,0.0,40904586.37690813 
 04/21  15:00:00,41092339.48034803,0.0,41092339.48034802 
 04/21  16:00:00,41237136.39803609,0.0,41237136.39803609 
 04/21  17:00:00,34267668.25826764,0.0,34267668.25826764 
 04/21  18:00:00,26188100.026504328,0.0,26188100.026504328 
 04/21  19:00:00,16711631.289526338,0.0,16711631.289526333 
 04/21  20:00:00,17672092.403048569,0.0,17672092.403048569 
 04/21  21:00:00,17672092.403048569,0.0,17672092.403048569 
