Date/Time,Electricity:Facility [J](Hourly),Gas:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly) 
 04/21  22:00:00,15889427.405195989,0.0,15889427.405195989 
 04/21  23:00:00,14899057.961957103,0.0,14899057.961957103 
 04/21  24:00:00,18642654.45740009,0.0,18642654.457400089 
 04/22  01:00:00,14899057.961957103,0.0,14899057.961957103 
 04/22  02:00:00,14899057.961957103,0.0,14899057.961957103 
 04/22  03:00:00,14899057.961957103,0.0,14899057.961957103 
 04/22  04:00:00,14899057.961957103,0.0,14899057.961957103 
 04/22  05:00:00,14899057.961957103,0.0,14899057.961957103 
 04/22  06:00:00,9016657.961957103,0.0,9016657.961957103 
 04/22  07:00:00,9016657.961957103,0.0,9016657.961957103 
 04/22  08:00:00,9016657.961957103,0.0,9016657.961957103 
 04/22  09:00:00,9016657.961957103,0.0,9016657.961957103 
 04/22  10:00:00,9016657.961957103,0.0,9016657.961957103 
 04/22  11:00:00,8866657.961957103,0.0,8866657.961957103 
 04/22  12:00:00,8116657.961957103,0.0,8116657.961957104 
 04/22  13:00:00,8116657.961957103,0.0,8116657.961957103 
 04/22  14:00:00,8116657.961957103,0.0,8116657.961957101 
 04/22  15:00:00,8116657.961957103,0.0,8116657.961957103 
 04/22  16:00:00,8116657.961957103,0.0,8116657.961957103 
 04/22  17:00:00,8116657.961957103,0.0,8116657.961957104 
 04/22  18:00:00,9016657.961957103,0.0,9016657.961957103 
 04/22  19:00:00,11957857.961957103,0.0,11957857.961957103 
 04/22  20:00:00,14899057.961957103,0.0,14899057.961957103 
 04/22  21:00:00,14899057.961957103,0.0,14899057.961957103 
 04/22  22:00:00,14899057.961957103,0.0,14899057.961957103 
 04/22  23:00:00,14899057.961957103,0.0,14899057.961957103 
 04/22  24:00:00,14899057.961957103,0.0,14899057.961957103 
 04/23  01:00:00,14899057.961957103,0.0,14899057.961957103 
 04/23  02:00:00,14899057.961957103,0.0,14899057.961957103 
 04/23  03:00:00,14899057.961957103,0.0,14899057.961957103 
 04/23  04:00:00,14899057.961957103,0.0,14899057.961957103 
 04/23  05:00:00,14899057.961957103,0.0,14899057.961957103 
 04/23  06:00:00,9016657.961957103,0.0,9016657.961957103 
 04/23  07:00:00,9016657.961957103,0.0,9016657.961957103 
 04/23  08:00:00,8266657.961957103,0.0,8266657.961957103 
 04/23  09:00:00,8116657.961957103,0.0,8116657.961957103 
 04/23  10:00:00,8116657.961957103,0.0,8116657.961957103 
 04/23  11:00:00,8116657.961957103,0.0,8116657.961957103 
 04/23  12:00:00,8116657.961957103,0.0,8116657.961957104 
 04/23  13:00:00,8116657.961957103,0.0,8116657.961957104 
 04/23  14:00:00,8116657.961957103,0.0,8116657.961957104 
 04/23  15:00:00,8116657.961957103,0.0,8116657.961957104 
 04/23  16:00:00,8116657.961957103,0.0,8116657.961957103 
 04/23  17:00:00,8116657.961957103,0.0,8116657.961957103 
 04/23  18:00:00,8116657.961957103,0.0,8116657.961957103 
 04/23  19:00:00,11057857.961957103,0.0,11057857.961957103 
 04/23  20:00:00,13999057.961957103,0.0,13999057.961957103 
 04/23  21:00:00,13999057.961957103,0.0,13999057.961957103 
 04/23  22:00:00,13999057.961957103,0.0,13999057.961957103 
 04/23  23:00:00,13999057.961957103,0.0,13999057.961957103 
 04/23  24:00:00,13999057.961957103,0.0,13999057.961957103 
 04/24  01:00:00,17742654.45740009,0.0,17742654.457400085 
 04/24  02:00:00,17742654.45740009,0.0,17742654.457400085 
 04/24  03:00:00,17742654.45740009,0.0,17742654.457400085 
 04/24  04:00:00,17742654.45740009,0.0,17742654.457400085 
 04/24  05:00:00,18733023.90063898,0.0,18733023.900638977 
 04/24  06:00:00,26458989.8502442,0.0,26458989.850244196 
 04/24  07:00:00,27831217.227500626,0.0,27831217.22750063 
 04/24  08:00:00,40252644.04017975,0.0,40252644.04017975 
 04/24  09:00:00,41164618.40759498,0.0,41164618.40759498 
 04/24  10:00:00,42393312.41959078,0.0,42393312.41959078 
 04/24  11:00:00,45047498.10693575,0.0,45047498.10693575 
 04/24  12:00:00,43650419.64193052,0.0,43650419.64193052 
 04/24  13:00:00,48352171.58144526,0.0,48352171.58144525 
 04/24  14:00:00,47677054.22344678,0.0,47677054.22344677 
 04/24  15:00:00,46614016.19239169,0.0,46614016.19239169 
 04/24  16:00:00,44281889.66017476,0.0,44281889.66017476 
 04/24  17:00:00,28397320.90600826,0.0,28397320.90600826 
 04/24  18:00:00,20403091.58069133,0.0,20403091.580691328 
 04/24  19:00:00,15811631.289526338,0.0,15811631.289526336 
 04/24  20:00:00,16772092.40304857,0.0,16772092.40304857 
 04/24  21:00:00,16772092.40304857,0.0,16772092.40304857 
 04/24  22:00:00,14989427.405195989,0.0,14989427.405195989 
 04/24  23:00:00,13999057.961957103,0.0,13999057.961957103 
 04/24  24:00:00,17742654.45740009,0.0,17742654.457400085 
 04/25  01:00:00,17742654.45740009,0.0,17742654.457400085 
 04/25  02:00:00,17742654.45740009,0.0,17742654.457400085 
 04/25  03:00:00,18642654.45740009,0.0,18642654.457400089 
 04/25  04:00:00,18642654.45740009,0.0,18642654.457400089 
 04/25  05:00:00,19633023.90063898,0.0,19633023.900638977 
 04/25  06:00:00,32178891.519550474,2904962.7510109685,32178891.519550474 
 04/25  07:00:00,33671955.46893488,0.0,33671955.46893488 
 04/25  08:00:00,41550807.53870502,0.0,41550807.53870502 
 04/25  09:00:00,40474687.84731909,0.0,40474687.84731909 
 04/25  10:00:00,40519555.93045431,0.0,40519555.93045431 
 04/25  11:00:00,40279687.607638198,0.0,40279687.60763818 
 04/25  12:00:00,37424904.81040511,0.0,37424904.81040511 
