Date/Time,Baseline - Electricity:Facility [J](Hourly),Baseline - Gas:Facility [J](Hourly) ,Calibrating - Electricity:Facility [J](Hourly),Calibrating - Gas:Facility [J](Hourly) ,Target - Electricity:Facility [J](Hourly),Target - Gas:Facility [J](Hourly) 
 03/09  10:00:00,110807948.5,3272300.036,118610599.6,42126261.81,105272079.3,22318672.06
 03/09  11:00:00,113906343.8,4872910.258,118610599.6,26306271.08,111411163.7,6853438.085
 03/09  12:00:00,119390551,4872356.532,126536469.9,5420982.485,116889372.7,10243407.98
 03/09  13:00:00,118652348.6,4873293.97,121648848.1,7727285.965,114632237.4,6853898.336
 03/09  14:00:00,124659472.7,3271784.811,133434830.9,3637482.946,127371583,6850425.108
 03/09  15:00:00,129290314.5,3271152.463,141625504.2,3636780.123,134439812.7,5154762.721
 03/09  16:00:00,132143557.8,3271898.991,146311400.2,3637610.639,138097325.5,6851056.589
 03/09  17:00:00,83884906.11,3271354.431,96329472.12,3637003.795,91292082.15,5154165.006
 03/09  18:00:00,66223152.22,1671628.385,75981155.81,1854446.924,74188753.73,3459818.544
 03/09  19:00:00,85810365.12,3270971.524,94335814.4,3636575.879,92158703.4,3459308.869
 03/09  20:00:00,71868985.34,1671503.718,77626254.25,1854308.165,75793919.42,3459476.008
 03/09  21:00:00,69806978.95,1671214.701,75064991.1,1853986.247,72740481.5,1765242.098
 03/09  22:00:00,53790838.84,1671173.634,57444377.97,1853940.413,56446274.28,3458114.181
 03/09  23:00:00,45712420.05,1671242.216,48534316.71,1854016.676,48606979.16,1765007.192
 03/09  24:00:00,34633452.83,1671190.19,35327271.32,1853958.803,34580257.57,1765063.689
 03/10  01:00:00,34633452.83,1671130.975,35327271.32,1853892.894,34580257.57,1765037.202
 03/10  02:00:00,34633452.83,1671183.282,35327271.32,1853951.094,34580257.57,1764999.519
 03/10  03:00:00,34633452.83,1671233.704,35327271.32,1854007.163,34580257.57,1765056.085
 03/10  04:00:00,34633452.83,1671193.138,35327271.32,1853962.093,34580257.57,1765032.601
 03/10  05:00:00,55334818.47,1671282.283,59176682.61,1854061.464,59516841.73,3458489.318
 03/10  06:00:00,54020426.13,1671296.353,57235041.76,1854077.104,57355463.23,1765102.903
 03/10  07:00:00,74548065.67,1671505.79,80573466.09,1854310.729,77960343.38,3459492.486
 03/10  08:00:00,121726518.6,3271857.708,129365025.1,3637564.691,122085373.8,6850326.215
 03/10  09:00:00,127012667.1,3271957.391,138670804.7,3637675.223,131037486.1,5156126.473
 03/10  10:00:00,131869317.2,4872126.407,147216861.1,5420724.677,138647083.6,6851357.1
 03/10  11:00:00,137003381.4,3272387.246,155701327,3638154.216,147358737.9,6852809.818
 03/10  12:00:00,140505686,4872813.54,161546337,5421491.203,152014214.1,8548368.488
 03/10  13:00:00,143608995.5,3272351.546,166299612.8,3638116.329,158914729.1,8547886.825
 03/10  14:00:00,145951658.4,3271637.876,169743351.9,3637319.172,161415515.9,5155246.318
 03/10  15:00:00,145502533.8,3271427.13,168552705.6,3637084.511,159989561.7,5154035.286
 03/10  16:00:00,145495913.9,3272175.164,168521400.7,3637917.847,161126141.9,6851474.83
 03/10  17:00:00,94545982.74,3271268.403,112233872.2,3636931.933,108987539.8,5154084.086
 03/10  18:00:00,75634602.37,1671552.838,89514670.16,1854362.756,89186286.24,3459690.047
 03/10  19:00:00,95379092.56,3270859.921,107964030,3636451.652,107975472.4,3459137.727
 03/10  20:00:00,82388403.82,1671487.715,92022857.1,1854290.282,92218587.02,3459283.045
 03/10  21:00:00,79826087.88,1671188.677,88166289.67,1853957.209,87141582.46,1765132.529
 03/10  22:00:00,63277668.07,1671136.23,69649171.96,1853898.711,69297485.99,1765061.017
 03/10  23:00:00,54759347.65,1671196.915,60035023.59,1853966.248,60741878.48,1765027.198
 03/10  24:00:00,34633452.83,1671143.566,35327271.32,1853906.869,34580257.57,3458200.336
 03/11  01:00:00,34633452.83,1671206.338,35327271.32,1853976.73,34580257.57,1765035.143
 03/11  02:00:00,34633452.83,1671158.52,35327271.32,1853923.52,34580257.57,1765004.126
 03/11  03:00:00,34633452.83,1671270.36,35327271.32,1854048.087,34580257.57,1765159.651
 03/11  04:00:00,34633452.83,1671185.615,35327271.32,1853953.763,34580257.57,1765185.161
 03/11  05:00:00,54597192.19,1671369.404,56890366.04,1854158.54,52470234.34,3458493.243
 03/11  06:00:00,50508772.74,1671383.63,50020997.03,1854174.178,47230993.76,10013429.22
 03/11  07:00:00,70519777.78,3271087.915,72158324.38,3795114.647,67637453.49,6153414.69
 03/11  08:00:00,108928090.9,3271689.836,118610599.6,91620931.98,105272079.3,45897840.56
 03/11  09:00:00,109268769.2,3272087.753,118610599.6,95439543.61,105272079.3,23575264.62
 03/11  10:00:00,109644668.5,4872549.178,118610599.6,98588944.08,105272079.3,66750963.79
 03/11  11:00:00,110480733.1,3272631.427,118610599.6,94603688.42,105272079.3,16713377.9
 03/11  12:00:00,118580685.7,4873550.812,119589061.5,5422312.517,111056345.6,10244722.26
 03/11  13:00:00,112039166.3,4873498.523,118610599.6,90285689.08,105272079.3,49764535.82
 03/11  14:00:00,112992607.5,4871520.934,118610599.6,83471339.43,105679344.1,5154939.577
 03/11  15:00:00,113870213.5,3271848.236,118610599.6,74469989.63,107861868.1,6849463.568
 03/11  16:00:00,114126724.2,3272308.419,118610599.6,73849406.95,105272079.3,31230241.47
 03/11  17:00:00,73103977.62,3271707.367,75831760.39,3637447.302,67514920.06,5154735.985
 03/11  18:00:00,58111486.41,3271384.511,63377667.97,3637036.913,57579607.52,3460110.102
 03/11  19:00:00,76769858.55,1671600.715,79641882.24,1854416.309,71485288.51,5537303.809
 03/11  20:00:00,64064071.76,3271286.524,64686450.29,3636927.761,60877444.67,19435896.04
 03/11  21:00:00,62680155.69,1671371.497,62983546.02,1854161.076,60877444.67,26047299.21
 03/11  22:00:00,47223847.66,1671300.363,47509226,6137512.535,47107465.53,35533068.34
 03/11  23:00:00,38602084.36,2007255.676,39877222.68,16021728.83,40222475.95,45340162.98
 03/11  24:00:00,34633452.83,3270627.836,35327271.32,3636221.466,34580257.57,1765148.949
 03/12  01:00:00,34633452.83,1671230.428,35327271.32,1854003.983,34580257.57,3458338.873
 03/12  02:00:00,34633452.83,1671352.253,35327271.32,1854139.631,34580257.57,1765211.959
 03/12  03:00:00,34633452.83,1671326.34,35327271.32,1854110.808,34580257.57,1765162.319
 03/12  04:00:00,34633452.83,1671302.787,35327271.32,1854084.59,34580257.57,3458296.823
 03/12  05:00:00,45316022.84,26677834.62,47509226,49454444.77,47107465.53,96889037.82
 03/12  06:00:00,45316022.84,33736803.82,47509226,63303210.88,47107465.53,104606282
 03/12  07:00:00,63837006.18,13964526.97,68805483.26,43526157.17,65415667.82,64518200.04
 03/12  08:00:00,107435883.6,36121554.11,118610599.6,144162936.5,105272079.3,68092807.38
 03/12  09:00:00,107435883.6,23664982.01,118610599.6,129599061.2,105272079.3,110123288.2
 03/12  10:00:00,107435883.6,13105186.75,118610599.6,114557754.5,105272079.3,80064796.17
 03/12  11:00:00,108356035.9,5294150.501,118610599.6,93708807.8,105272079.3,43485227.82
 03/12  12:00:00,116258315.1,4872967.88,118714300.2,5421664.11,108540074.6,8549515.969
 03/12  13:00:00,110355629.2,4873125.068,118610599.6,85462357.93,105272079.3,46080333.68
 03/12  14:00:00,109235595.4,3271720.861,118610599.6,96427225.14,105272079.3,41336457.58
 03/12  15:00:00,109087372.6,4871587.365,118610599.6,100891382.9,105272079.3,54195972.05
 03/12  16:00:00,109865261.1,3272243.245,118610599.6,93514940.33,105272079.3,34508695.89
 03/12  17:00:00,68886511.08,3271616.727,70137461.68,3637300.044,59965374,11926743.28
 03/12  18:00:00,53905382.19,3271469.009,57880788.89,3637131.055,52026286.11,3460047.81
 03/12  19:00:00,73160789.44,1671608.891,74922327.63,1854425.424,70208015.25,19037172.85
 03/12  20:00:00,60944349.47,3271057.008,62773232.63,12700466.94,60877444.67,37107040.4
 03/12  21:00:00,60101247.23,1671336.771,62773232.63,14911489.83,60877444.67,41111598.57
 03/12  22:00:00,45316022.84,1956727.928,47509226,16549215.23,47107465.53,41761969.99
 03/12  23:00:00,38377838.01,6567098.017,39877222.68,21360637.64,40222475.95,47482250.82
 03/12  24:00:00,34633452.83,1671232.646,35327271.32,1854007.195,34580257.57,1765120.05
 03/13  01:00:00,34633452.83,1671306.707,35327271.32,1854088.804,34580257.57,1765165.451
 03/13  02:00:00,34633452.83,1671233.416,35327271.32,1854007.213,34580257.57,1765077.202
 03/13  03:00:00,34633452.83,3270474.577,35327271.32,3636022.985,34580257.57,3458248.176
 03/13  04:00:00,34633452.83,1671257.404,35327271.32,1854033.902,34580257.57,1765170.604
 03/13  05:00:00,45316022.84,7854910.983,47509226,23288404.96,47107465.53,48861939.86
 03/13  06:00:00,45316022.84,9963952.884,47509226,28292246.73,47107465.53,50983914.66
 03/13  07:00:00,66329748.53,1814285.362,68805483.26,8396220.845,65415667.82,16298900.68
 03/13  08:00:00,111070073.8,4871943.274,118610599.6,48418418.85,106698900.8,8661686.422
 03/13  09:00:00,115042302,3271994.266,118610599.6,26798626.6,108104102,5156366.035
 03/13  10:00:00,117522384.1,3272190.603,118610599.6,16873249.72,111968022.1,6850835.798
 03/13  11:00:00,120466875.5,4872876.868,119295358.1,8025160.03,114652029,8548031.035
 03/13  12:00:00,126994251.4,4872976.539,137574428,5421673.371,127739698.2,8549201.746
 03/13  13:00:00,128090459.2,3272747.339,134324757.5,3638555.944,129346594.8,8549530.924
 03/13  14:00:00,132193336.3,4871584.681,142040403.3,5420122.065,135803112.8,5155148.687
 03/13  15:00:00,134470330.5,1671915.569,145803007,1854767.567,141752705.5,5154989.755
 03/13  16:00:00,135169233.4,4872231.617,146066171.6,5420843.076,141743958.7,6851512.813
 03/13  17:00:00,86471920.68,3271415.851,99226711.49,3637071.805,92956985.56,5154375.444
 03/13  18:00:00,68182442.14,1671624.57,78390803.18,1854442.926,77209082.08,3459917.161
 03/13  19:00:00,88896126.02,1671511.93,97737924.68,1854317.153,95717369.63,3459323.064
 03/13  20:00:00,77567756.12,3270879.905,84479914.23,3636474.625,83658724.51,3459061.363
 03/13  21:00:00,76847822.78,1671179.106,83572061.6,1853946.698,82731059.81,3458364.092
 03/13  22:00:00,61134519.93,1671225.069,66084808.01,1853997.671,66585912.66,1765014.977
 03/13  23:00:00,52853099.88,1671178.61,56689391.73,1853946.009,58011783.06,1765072.365
 03/13  24:00:00,34633452.83,1671221.228,35327271.32,1853993.343,34580257.57,1765044.805
 03/14  01:00:00,34633452.83,1671180.285,35327271.32,1853947.874,34580257.57,1765011.212
 03/14  02:00:00,34633452.83,1671145.355,35327271.32,1853909.021,34580257.57,1765078.449
 03/14  03:00:00,34633452.83,72000,35327271.32,72000,34580257.57,1765068.2
 03/14  04:00:00,34633452.83,1671218.869,35327271.32,1853990.804,34580257.57,3458066.261
 03/14  05:00:00,53193514.48,1671352.134,57121902.9,1854138.908,59529412.42,1765226.477
 03/14  06:00:00,57234072.83,3270630.379,60337729.78,3636196.121,61507232.65,1765136.344
 03/14  07:00:00,46092988.34,1671314.305,48860136.52,1854097.39,49549188.28,3458780.254
 03/14  08:00:00,56924442.87,1671512.475,61686828.18,1854317.936,60366088.52,3459309.731
 03/14  09:00:00,59321130.23,3271308.782,66153145.29,3636952.217,64537739.66,3459906.53
 03/14  10:00:00,61006679.27,1671552.529,68583752.88,1854362.887,67186885.75,3459496.526
 03/14  11:00:00,62376572.02,3271328.618,70363837.6,3636974.524,69266047.33,5153993.324
 03/14  12:00:00,41635651.13,1671438.54,48971263.31,1854235.911,49265936.95,3459595.882
 03/14  13:00:00,41436532.52,3270797.908,48122738.34,3636383.589,48558073.36,3459240.081
 03/14  14:00:00,41163764,1671453.275,47368992.7,1854252.221,47897330.69,3459137.844
 03/14  15:00:00,40840650.42,1671264.581,46815624.1,1854041.987,47263393.54,3458829.421
 03/14  16:00:00,40474148.8,3270776.643,46236439.56,3636359.476,46633191.62,3459038.918
 03/14  17:00:00,24719857.68,1671306.376,28797698.97,1854088.12,30318439.15,1765253.918
 03/14  18:00:00,23478277.61,1671331.353,27109360.51,1854115.818,28494652.05,3458513.696
 03/14  19:00:00,25401696.83,1671290.459,26095515.32,1854070.654,25348501.57,1765204.068
 03/14  20:00:00,34633452.83,1671203.277,35327271.32,1853973.602,34580257.57,1765142.774
 03/14  21:00:00,34633452.83,1671344.784,35327271.32,1854131.234,34580257.57,3458670.183
 03/14  22:00:00,34633452.83,1671180.671,35327271.32,1853948.365,34580257.57,1765061.773
 03/14  23:00:00,34633452.83,1671184.144,35327271.32,1853952.233,34580257.57,1765064.573
 03/14  24:00:00,34633452.83,1671189.835,35327271.32,1853958.566,34580257.57,1765068.592
 03/15  01:00:00,34633452.83,1671157.412,35327271.32,1853922.423,34580257.57,1765027.154
 03/15  02:00:00,34633452.83,1671253.194,35327271.32,1854029,34580257.57,3458129.041
 03/15  03:00:00,34633452.83,1671240.549,35327271.32,1854014.965,34580257.57,1765039.039
 03/15  04:00:00,34633452.83,1671228.786,35327271.32,1854001.886,34580257.57,1765012.747
 03/15  05:00:00,47652464.11,1671331.641,50328763.47,1854116.529,52272388.3,1765160.316
 03/15  06:00:00,45990043.83,1671175.073,47678205.63,1853942.121,49571887.11,1765085.385
 03/15  07:00:00,31431166.95,1671180.384,32983499.28,1853948.039,34738348.12,3458149.377
 03/15  08:00:00,17145303.66,1671196.341,18556611.96,1853965.816,20344393.01,1765069.834
 03/15  09:00:00,17439250.18,1671313.925,18888222.05,1854096.372,20928792.8,1765221.797
 03/15  10:00:00,18973842.57,1671339.751,20795845.11,1854125.016,23278987.44,1765238.067
 03/15  11:00:00,21596239.5,1671387.042,24096760.71,1854177.667,27265679.03,1765323.48
 03/15  12:00:00,24673988.8,1671360.722,27891289.86,1854148.386,31568092.6,3458534.111
 03/15  13:00:00,26759534.38,1671295.949,30379464.2,1854076.835,34157888.89,1765313.454
 03/15  14:00:00,28593271.97,1671284.575,32515754.14,1854063.777,36396963.56,1765132.417
 03/15  15:00:00,28547055.12,1671277.891,32533712.22,1854023.239,35925059.17,3458352.848
 03/15  16:00:00,26984808.12,1671268.162,30688181.37,1854045.135,33392078.79,1765157.687
 03/15  17:00:00,25413892.35,1671268.791,28893483.91,1854045.68,31066017.93,1765110.57
 03/15  18:00:00,6938184.833,1671257.713,7632003.317,1854033.522,6884989.575,1765119.989
 03/15  19:00:00,25401696.83,1671254.27,26095515.32,1854029.939,25348501.57,1765126.601
 03/15  20:00:00,34633452.83,1671286.737,35327271.32,1854065.994,34580257.57,1765128.883
 03/15  21:00:00,34633452.83,1671231.23,35327271.32,1854004.75,34580257.57,1765117.846
 03/15  22:00:00,34633452.83,1671233.195,35327271.32,1854006.829,34580257.57,3458174.86
 03/15  23:00:00,34633452.83,1671245.701,35327271.32,1854020.76,34580257.57,1765072.679
 03/15  24:00:00,34633452.83,1671265.72,35327271.32,1854043.051,34580257.57,1765069.291
 03/16  01:00:00,34633452.83,1671329.06,35327271.32,1854113.62,34580257.57,1765130.917
 03/16  02:00:00,34633452.83,1671260.101,35327271.32,1854036.882,34580257.57,3458270.385
 03/16  03:00:00,34633452.83,1671337.63,35327271.32,1854123.187,34580257.57,1765147.049
 03/16  04:00:00,34633452.83,1671268.986,35327271.32,3607646.379,34580257.57,1765189.757
 03/16  05:00:00,45987957.88,3270683.351,47509226,12140659.06,47107465.53,40700523.81
 03/16  06:00:00,45316022.84,5193912.821,47509226,24882967.6,47107465.53,48193349.79
 03/16  07:00:00,61649714.57,3271079.773,64189605.26,13138136.86,60799789.82,20312111.56
 03/16  08:00:00,107435883.6,7130555.528,118610599.6,96109314.62,105272079.3,59646606.19
 03/16  09:00:00,107642654.2,3272191.893,118610599.6,94904062.07,105272079.3,32447997.81
 03/16  10:00:00,108776549.7,3272115.802,118610599.6,91363959.82,105272079.3,66558305.45
 03/16  11:00:00,109726802.6,4872918.558,118610599.6,88534924.24,105272079.3,20211580.59
 03/16  12:00:00,117311300.9,4873618.619,118610599.6,6383370.944,109490999.8,8550444.904
 03/16  13:00:00,112195617.3,4873401.746,118610599.6,79222566.55,105272079.3,42836220.95
 03/16  14:00:00,113446436.8,3271793.124,118610599.6,71197185.67,106665346,6849769.287
 03/16  15:00:00,113106901,3272104.763,118610599.6,75173299.15,106605390.1,5155999.018
 03/16  16:00:00,111497887.2,4872295.481,118610599.6,89866184.92,105272079.3,51064111.27
 03/16  17:00:00,70059986.02,3271391.607,71407658.76,3637045.781,62919322.71,5153474.532
 03/16  18:00:00,55285130.51,3271126.168,59515883.4,3636750.529,53986612.27,3459986.3
 03/16  19:00:00,69568807.27,1671549.502,71550995.44,1854359.256,65736316.45,13981699.5
 03/16  20:00:00,61761814.02,3271163.373,62773232.63,8601860.896,60877444.67,32969618.66
 03/16  21:00:00,60422775.33,1671283.296,62773232.63,14357151.11,60877444.67,42067792.78
 03/16  22:00:00,45316022.84,3565999.729,47509226,19980518.09,47107465.53,49885616.15
 03/16  23:00:00,38377838.01,10120551.43,39877222.68,27855074.13,40222475.95,60154012.95
 03/16  24:00:00,34633452.83,1671268.96,35327271.32,1854047.63,34580257.57,1765188.528
 03/17  01:00:00,34633452.83,1671213.264,35327271.32,1853984.719,34580257.57,1765116.778
 03/17  02:00:00,34633452.83,3270608.058,35327271.32,3636171.586,34580257.57,3458308.785
 03/17  03:00:00,34633452.83,1671243.884,35327271.32,1854018.822,34580257.57,1765198.44
 03/17  04:00:00,34633452.83,1671365.396,35327271.32,1854154.12,34580257.57,1765133.707
 03/17  05:00:00,45316022.84,24600690.08,47509226,46147198.86,47107465.53,88590504.82
 03/17  06:00:00,45316022.84,27103741.98,47509226,53242459.43,47107465.53,87409418.54
 03/17  07:00:00,59221128.18,11442618.07,64189605.26,38183620.45,60799789.82,55069804.78
 03/17  08:00:00,107435883.6,28431400.66,118610599.6,129058548.5,105272079.3,95246259.5
 03/17  09:00:00,107435883.6,19420621.64,118610599.6,119629857.3,105272079.3,58644254.9
 03/17  10:00:00,107548948.5,5883424.752,118610599.6,102049403.2,105272079.3,79327965.04
 03/17  11:00:00,108649813.4,4872870.461,118610599.6,100218641.7,105272079.3,29602195.12
 03/17  12:00:00,116943120.8,4873400.388,118610599.6,9626208.7,108616606.9,10246297.23
 03/17  13:00:00,111920249.8,4872819.208,118610599.6,83394333.04,105272079.3,46235874.64
 03/17  14:00:00,113139952.9,3271962.89,118610599.6,74159043.59,105980282.7,5155201.723
 03/17  15:00:00,113368128.1,3271471.703,118610599.6,74165739.35,107121630.8,6849421.03
 03/17  16:00:00,113817596.3,4872052.048,118610599.6,70624936.55,105272079.3,29574195.12
 03/17  17:00:00,72082229.05,1671864.29,74962957.44,1854710.035,66872025.66,5154687.732
 03/17  18:00:00,56673638.21,3271491.055,61445167.26,3636853.35,56084717.71,3460026.598
 03/17  19:00:00,70830032.13,3271187.781,73442175.39,3636817.217,66395471.42,5997067.013
 03/17  20:00:00,62451975.8,1671482.304,63053875.95,3213099.138,60877444.67,26812175.59
 03/17  21:00:00,60810992.37,1671265.199,62773232.63,11001957.72,60877444.67,38024667.77
 03/17  22:00:00,45407255.83,4423918.46,47509226,19892656.2,47107465.53,49987673.24
 03/17  23:00:00,38377838.01,16529049.46,39877222.68,35206179.27,40222475.95,69016753.67
 03/17  24:00:00,34633452.83,1671261.21,35327271.32,1854038.162,34580257.57,1765133.846
 03/18  01:00:00,34633452.83,1671244.959,35327271.32,1854020.071,34580257.57,1765228.106
 03/18  02:00:00,34633452.83,1671392.946,35327271.32,1854184.848,34580257.57,3458300.969
 03/18  03:00:00,34633452.83,1671368.72,35327271.32,1854157.881,34580257.57,1765210.524
 03/18  04:00:00,34633452.83,1671355.955,35327271.32,1854143.683,34580257.57,3458273.408
 03/18  05:00:00,45316022.84,50079868.71,47509226,77357506.15,47107465.53,130580569.9
 03/18  06:00:00,45316022.84,52683573.47,47509226,86169367.43,47107465.53,136155772.4
 03/18  07:00:00,59221128.18,36101078.59,64189605.26,70914209.65,60799789.82,96677399.61
 03/18  08:00:00,107435883.6,51965829.75,118610599.6,163528014.3,105272079.3,136465623.9
 03/18  09:00:00,107435883.6,26826789.92,118610599.6,124363016.9,105272079.3,70677466.19
 03/18  10:00:00,109215807.4,6063502.186,118610599.6,77249815.58,105272079.3,53314851.33
 03/18  11:00:00,114106288.7,3272663.45,118610599.6,41713404.48,109837430.5,8548096.929
 03/18  12:00:00,122433706.3,4873656.806,129498554.8,5422430.646,119730135.1,8550966.416
 03/18  13:00:00,122593548.4,4873235.203,124903207.1,5421960.851,119224669.8,8548976.575
 03/18  14:00:00,126693057,3271771.83,132078647.5,3637468.768,128555340.2,5155446.889
 03/18  15:00:00,128909391.2,3271858.495,136601201.5,3637564.86,131732990.6,5155633.551
 03/18  16:00:00,129358097,3272372.757,139335959,3638138.153,131458970.2,6851913.425
 03/18  17:00:00,81307410.62,3271323.924,92091861,3636928.782,85341744.51,5153999.564
 03/18  18:00:00,63809569.31,3271266.608,72623304.31,3636905.252,69054237.54,3459795.109
 03/18  19:00:00,80051286.1,1671471.922,87984657.93,1854272.988,84508682.88,3459163.595
 03/18  20:00:00,73114165.18,1671418.68,79228365.66,1854213.753,77281805.33,3459006.633
 03/18  21:00:00,72341471.34,1671294.937,78239585.28,1854075.634,76255800.92,3458366.825
 03/18  22:00:00,56664419.85,1671122.201,60743004.15,1853897.807,59988321.21,1765071.639
 03/18  23:00:00,47998399.74,1671221.412,50664143.07,1853993.654,50236150.43,1765063.938
 03/18  24:00:00,34633452.83,1671205.674,35327271.32,1853976.176,34580257.57,1765055.65
 03/19  01:00:00,34633452.83,1671189.561,35327271.32,1853958.246,34580257.57,1765045.572
 03/19  02:00:00,34633452.83,1671170.261,35327271.32,1853936.757,34580257.57,1765032.736
 03/19  03:00:00,34633452.83,1671252.82,35327271.32,1854028.557,34580257.57,3458170.271
 03/19  04:00:00,34633452.83,1671186.38,35327271.32,1853954.6,34580257.57,1765019.43
 03/19  05:00:00,60271157.57,1671174.091,65421626.13,1853941.032,68101240.68,1765143.24
 03/19  06:00:00,61166038.35,1671235.856,67509650.06,1854009.66,70676575.15,1765116.862
 03/19  07:00:00,77528200.4,1671477.754,86856084.76,1854279.541,86118594.88,3459085.923
 03/19  08:00:00,129765307.3,3271786.551,142076006.3,3637466.605,135274510.7,6849365.373
 03/19  09:00:00,132308303.8,4871795.742,145448190,5420357.05,137306585.1,5155851.454
 03/19  10:00:00,133859555.3,3272001.433,147905824.6,3637724.488,140789395,6850762.5
 03/19  11:00:00,135216679.2,3272484.179,150291894.2,3638262.5,143325887.2,6852743.65
 03/19  12:00:00,137669515.1,4873167.164,156040166.5,5421885.359,146430303.8,8549133.13
 03/19  13:00:00,135916294.7,4872302.682,149773138.7,5420922.496,143884839.5,8547146.844
 03/19  14:00:00,136583421.9,3271295.697,150042026.5,3636938.497,145028584.6,5154623.4
 03/19  15:00:00,137081185.5,1671788.236,150840145.6,1854625.472,145218676.7,5154787.488
 03/19  16:00:00,135430160.2,4872373.521,147767449.8,5421000.709,142891028.4,6851760.998
 03/19  17:00:00,85499990.61,3271489.273,97168702.07,3637153.339,90553011.57,5154641.48
 03/19  18:00:00,66606109.91,1671604.622,75888711.76,1854420.72,72356823.03,3459865.729
 03/19  19:00:00,80109764.88,1671482.673,86879948.6,1854284.842,81626967.06,3459410.1
 03/19  20:00:00,71270022.76,3271101.195,75358339.87,3636721.17,70546929.89,5152938.308
 03/19  21:00:00,69184593.61,1671389.612,72607385.44,1853994.608,67441725.46,1765160.507
 03/19  22:00:00,52695733.76,1671280.698,54381022.65,1854059.899,49575681.71,1765145.496
 03/19  23:00:00,43410872.69,1671199.033,43542299.47,1853969,40222475.95,8531376.597
 03/19  24:00:00,34633452.83,1671279.753,35327271.32,1854058.883,34580257.57,1765167.685
 03/20  01:00:00,34633452.83,1671222.916,35327271.32,1853995.62,34580257.57,1765093.203
 03/20  02:00:00,34633452.83,3270614.668,35327271.32,3636179.243,34580257.57,3458254.214
 03/20  03:00:00,34633452.83,1671242.349,35327271.32,1854017.278,34580257.57,1765171.439
 03/20  04:00:00,34633452.83,1671363.847,35327271.32,1854152.542,34580257.57,1765100.273
 03/20  05:00:00,45316022.84,9140818.017,47509226,26255549.94,47107465.53,70193827.94
 03/20  06:00:00,45316022.84,18113082.96,47509226,44898693.56,47107465.53,83514120.21
 03/20  07:00:00,59221128.18,5554217.348,64189605.26,34121352.73,60799789.82,53905321.98
 03/20  08:00:00,107435883.6,34952570.84,118610599.6,155070315.1,105272079.3,77781934.48
 03/20  09:00:00,107435883.6,33449037.08,118610599.6,161126272.1,105272079.3,110013076.6
 03/20  10:00:00,107435883.6,23930542.02,118610599.6,150975142.4,105272079.3,97640881.87
 03/20  11:00:00,107435883.6,22405303.45,118610599.6,154596983.6,105272079.3,115037206.8
 03/20  12:00:00,112662636.5,4873568.591,118610599.6,48904648.92,105272079.3,27196578.94
 03/20  13:00:00,107435883.6,18404435.81,118610599.6,163312945.1,105272079.3,108552607.2
 03/20  14:00:00,107435883.6,17067023.78,118610599.6,169254334.2,105272079.3,133011502.4
 03/20  15:00:00,107435883.6,20245726.56,118610599.6,174221225.6,105272079.3,62478790.81
 03/20  16:00:00,107435883.6,19867583.04,118610599.6,172970169.7,105272079.3,83528721.91
 03/20  17:00:00,65848363.5,3271813.671,66880737.67,20029176.74,59912143.28,83566002.36
 03/20  18:00:00,51063784.89,3271561.219,52598517.62,3637234.273,47098772.91,12537346.13
 03/20  19:00:00,64150355.43,11785311.57,68805483.26,41769406.01,65415667.82,90483924.09
 03/20  20:00:00,59192392.51,31927503.81,62773232.63,68323412.26,60877444.67,127616859.3
 03/20  21:00:00,59192392.51,40212904.05,62773232.63,79032005.44,60877444.67,141578094.2
 03/20  22:00:00,45316022.84,50069260.07,47509226,85729322.19,47107465.53,154320340.5
 03/20  23:00:00,38377838.01,63012178.81,39877222.68,102084302.6,40222475.95,174448749.9
 03/20  24:00:00,34633452.83,1671362.118,35327271.32,1854151.007,34580257.57,1765294.737
 03/21  01:00:00,34633452.83,1671477.264,35327271.32,1854279.243,34580257.57,3458771.41
 03/21  02:00:00,34633452.83,3270859.169,35327271.32,3636452.271,34580257.57,1765348.641
 03/21  03:00:00,34633452.83,1671389.249,35327271.32,1854181.226,34580257.57,3458380.092
 03/21  04:00:00,34633452.83,1671506.514,35327271.32,1854311.813,34580257.57,1765233.941
 03/21  05:00:00,38377838.01,52363395.67,39877222.68,72491454.96,40222475.95,97048363.31
 03/21  06:00:00,45316022.84,53808919.71,47509226,87182931.77,47107465.53,102731246.5
 03/21  07:00:00,26852510.84,54839723.65,29045714,87880545.91,28643953.53,99504244.9
 03/21  08:00:00,45373494.18,60915014.5,50341971.26,125132386.3,46952155.82,122418373.2
 03/21  09:00:00,45373494.18,49397265.56,50341971.26,111516467.8,46952155.82,106826669.5
 03/21  10:00:00,45373494.18,35103983.83,50341971.26,95331839.01,46952155.82,78546717.4
 03/21  11:00:00,45387302.59,12345802.04,50341971.26,68208295.84,46952155.82,43974626.77
 03/21  12:00:00,29559902.03,3271620.997,28448735.11,3902066.998,31293781.5,5154348.66
 03/21  13:00:00,32664643.03,3271299.28,32011293.55,3636942.699,35235964.21,3459629.706
 03/21  14:00:00,34516939.42,1671591.19,34380390.1,1854406.277,37521724.34,5152963.927
 03/21  15:00:00,35271498.82,3271165.37,35490531.96,3636793.004,38419197.41,1765689.235
 03/21  16:00:00,34591918.92,1671632.209,34990789.94,1854451.507,37401740.28,5153301.135
 03/21  17:00:00,18816327.15,3271008.586,19120766.16,3636617.484,21863488.81,1765453.011
 03/21  18:00:00,16543614.44,1671487.86,16720039.01,1854290.385,18680512.4,3458919.463
