Date/Time,S1 OFFICE BACK:Zone Hybrid Model People Count [](Hourly),S1 OFFICE CORE:Zone Hybrid Model People Count [](Hourly),S1 OFFICE FRONT:Zone Hybrid Model People Count [](Hourly),S1 OFFICE LEFT:Zone Hybrid Model People Count [](Hourly),S1 OFFICE RIGHT:Zone Hybrid Model People Count [](Hourly),OFFICE_BACK_Zone Ground Truth,OFFICE_CORE_Zone Ground Truth,OFFICE_FRONT_Zone Ground Truth,OFFICE_LEFT_Zone Ground Truth,OFFICE_RIGHT_Zone Ground Truth
 12/19  17:00:00,0,0,0,0,0,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688
 12/19  18:00:00,0,0,0,0,0,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 12/19  19:00:00,0,0,0,0,0,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 12/19  20:00:00,0.214844712,4.613636411,0.284280455,0.147530125,0.111579686,0,0,0,0,0
 12/19  21:00:00,0.027455857,3.806277995,0.052048416,0.023262051,0,0,0,0,0,0
 12/19  22:00:00,0,2.166306449,0,0,0,0,0,0,0,0
 12/19  23:00:00,0,0.686744813,0,0,0,0,0,0,0,0
 12/19  24:00:00,0,1.701787615,0,0,0,0,0,0,0,0
 12/20  01:00:00,0,3.532713366,0,0,0,0,0,0,0,0
 12/20  02:00:00,0,4.34099693,0,0,0,0,0,0,0,0
 12/20  03:00:00,0.008488188,4.978129196,0,0,0,0,0,0,0,0
 12/20  04:00:00,0.164143725,5.351031176,0.043762431,0.054174416,0.029428571,0,0,0,0,0
 12/20  05:00:00,0.518282384,5.928595366,0.401261201,0.277424148,0.243763945,0,0,0,0,0
 12/20  06:00:00,0.446758377,1.903316177,0.367688363,0.263536864,0.262330083,0,0,0,0,0
 12/20  07:00:00,0.530846923,2.999663649,0.176549497,0.258342234,0.2516415,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 12/20  08:00:00,0.397156718,2.557412733,0.022712885,0.171079794,0.163118791,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 12/20  09:00:00,0.978316143,3.770846984,0.733143983,0.543632224,0.588417577,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 12/20  10:00:00,1.883524659,6.612950528,1.883063575,1.160405177,1.201921218,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 12/20  11:00:00,2.119802641,7.774872411,2.119802641,1.326438391,1.326438391,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 12/20  12:00:00,1.169880833,1.743270925,1.389598261,0.721550783,0.720603399,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 12/20  13:00:00,0.407115729,0,1.431514147,0.285956062,0.224148603,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 12/20  14:00:00,0.094213846,0,1.269860262,0.749678429,0.052501483,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 12/20  15:00:00,0,0,0,0,0,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 12/20  16:00:00,0,0,0,0,0,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 12/20  17:00:00,0,0,0,0,0,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 12/20  18:00:00,0,0,0,0,0,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 12/20  19:00:00,0.173351005,3.202295948,0.178379916,0.11979116,0.103055158,0,0,0,0,0
 12/20  20:00:00,0,2.940290338,0,0,0,0,0,0,0,0
 12/20  21:00:00,0.092928168,4.277604691,0.119051473,0.061218972,0.035675461,0,0,0,0,0
 12/20  22:00:00,0.439602663,5.713864953,0.47585803,0.282686319,0.226264498,0,0,0,0,0
 12/20  23:00:00,0.319219205,5.27991293,0.302712412,0.195296364,0.147901771,0,0,0,0,0
 12/20  24:00:00,0.075406358,4.69340751,0.041621485,0.032252473,0.01219034,0,0,0,0,0
 12/21  01:00:00,0,0,0,0,0,0,0,0,0,0
 12/21  02:00:00,0,0,0,0,0,0,0,0,0,0
 12/21  03:00:00,0,0,0,0,0,0,0,0,0,0
 12/21  04:00:00,0,0,0,0,0,0,0,0,0,0
 12/21  05:00:00,0,0,0,0,0,0,0,0,0,0
 12/21  06:00:00,0,0,0,0,0,0,0,0,0,0
 12/21  07:00:00,0,0,0,0,0,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688
 12/21  08:00:00,2.375456771,10.95143553,2.234163409,1.441034145,1.438845682,3.506448064,12.59885389,3.506448064,2.194113376,2.194113376
 12/21  09:00:00,1.001414186,4.18526051,0.901987353,0.584133219,0.588071873,15.07772668,54.17507174,15.07772668,9.434687517,9.434687517
 12/21  10:00:00,0,0,0,0,0,11.92192342,42.83610324,11.92192342,7.459985478,7.459985478
 12/21  11:00:00,0,0,0,0,0,17.53224032,62.99426947,17.53224032,10.97056688,10.97056688
 12/21  12:00:00,0,0,0,0,0,11.92192342,42.83610324,11.92192342,7.459985478,7.459985478
 12/21  13:00:00,0,0,0,0,0,8.064830547,28.97736396,8.064830547,5.046460765,5.046460765
 12/21  14:00:00,0,0,0,0,0,16.83095071,60.47449869,16.83095071,10.5317442,10.5317442
 12/21  15:00:00,0,0,0,0,0,12.44789063,44.72593132,12.44789063,7.789102485,7.789102485
 12/21  16:00:00,0,0,0,0,0,11.92192342,42.83610324,11.92192342,7.459985478,7.459985478
 12/21  17:00:00,0,0,0,0,0,16.6556283,59.844556,16.6556283,10.42203854,10.42203854
 12/21  18:00:00,0,0,0,0,0,6.311606515,22.67793701,6.311606515,3.949404077,3.949404077
 12/21  19:00:00,0,0,0,0,0,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688
 12/21  20:00:00,0,0,0,0,0,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688
 12/21  21:00:00,0,0,0,0,0,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688
 12/21  22:00:00,0,0,0,0,0,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688
 12/21  23:00:00,0,0,0,0,0,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 12/21  24:00:00,0,0,0,0,0,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 12/22  01:00:00,0,0,0,0,0,0,0,0,0,0
 12/22  02:00:00,0,0,0,0,0,0,0,0,0,0
 12/22  03:00:00,0,0,0,0,0,0,0,0,0,0
 12/22  04:00:00,0,0,0,0,0,0,0,0,0,0
 12/22  05:00:00,0,0,0,0,0,0,0,0,0,0
 12/22  06:00:00,0,0,0,0,0,0,0,0,0,0
 12/22  07:00:00,0,0,0,0,0,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688
 12/22  08:00:00,3.734574623,14.59033489,3.688063447,2.326592032,2.329214305,3.506448064,12.59885389,3.506448064,2.194113376,2.194113376
 12/22  09:00:00,1.354034064,5.447964305,1.31866481,0.827096969,0.910744733,15.07772668,54.17507174,15.07772668,9.434687517,9.434687517
 12/22  10:00:00,0,0,0,0,0,11.92192342,42.83610324,11.92192342,7.459985478,7.459985478
 12/22  11:00:00,0,0,0,0,0,17.53224032,62.99426947,17.53224032,10.97056688,10.97056688
 12/22  12:00:00,0,0,0,0,0,11.92192342,42.83610324,11.92192342,7.459985478,7.459985478
 12/22  13:00:00,0,0,0,0,0,8.064830547,28.97736396,8.064830547,5.046460765,5.046460765
 12/22  14:00:00,0,0,0,0,0,16.83095071,60.47449869,16.83095071,10.5317442,10.5317442
 12/22  15:00:00,0,0,0,0,0,12.44789063,44.72593132,12.44789063,7.789102485,7.789102485
