Date/Time,S1 OFFICE BACK:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE CORE:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE FRONT:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE LEFT:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE RIGHT:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly)
 01/04  02:00:00,3.80E-15,4.22E-15,2.71E-15,4.29E-16,1.29E-15
 01/04  03:00:00,3.23E-15,2.41E-15,2.70E-15,0,1.30E-15
 01/04  04:00:00,3.23E-15,4.80E-15,2.17E-15,0,2.15E-15
 01/04  05:00:00,3.73E-15,4.73E-15,1.60E-15,8.46E-16,1.27E-15
 01/04  06:00:00,0.000156175,0,7.06261E-05,0.000139253,0.000158358
 01/04  07:00:00,0.070124619,0.069973483,0.070081891,0.070115533,0.07012541
 01/04  08:00:00,0.070497496,0.070324566,0.070464727,0.070488458,0.070500038
 01/04  09:00:00,0.070438654,0.070269494,0.070401409,0.070430551,0.070425254
 01/04  10:00:00,0.070628649,0.070459231,0.070567175,0.07062127,0.070593287
 01/04  11:00:00,0.071136692,0.070961488,0.071036611,0.071130834,0.071082389
 01/04  12:00:00,0.071712036,0.071525751,0.071575129,0.071708632,0.071654969
 01/04  13:00:00,0.071992717,0.071796405,0.071820007,0.071992154,0.071943673
 01/04  14:00:00,0.072458198,0.072243039,0.072198521,0.072460615,0.072423636
 01/04  15:00:00,0.073020166,0.07279559,0.072705279,0.072996072,0.072991165
 01/04  16:00:00,0.072861742,0.072630773,0.07253191,0.072808786,0.072833351
 01/04  17:00:00,0.07276457,0.072538046,0.072445242,0.072678476,0.072737099
 01/04  18:00:00,0.072549347,0.072329499,0.072260785,0.07245562,0.072520776
 01/04  19:00:00,0.000144683,0.000146822,0.000151392,0.000146904,0.000144473
 01/04  20:00:00,0,5.78E-16,1.07E-15,0,0
 01/04  21:00:00,1.05E-15,1.18E-15,1.06E-15,4.16E-16,4.23E-16
 01/04  22:00:00,5.26E-16,2.94E-15,1.59E-15,1.27E-15,0
 01/04  23:00:00,0,1.18E-15,5.30E-16,4.25E-16,0
 01/04  24:00:00,5.24E-16,2.34E-15,5.31E-16,8.50E-16,0
 01/05  01:00:00,2.684087842,2.684392127,2.684271094,2.684192357,2.684138112
 01/05  02:00:00,2.917162616,2.918203494,2.919829219,2.918308502,2.917834963
 01/05  03:00:00,3.265137657,3.250538528,3.233058007,3.251487396,3.257185966
 01/05  04:00:00,5.30843917,5.308739349,5.309371038,5.308867293,5.308689651
 01/05  05:00:00,5.638090384,5.638321014,5.638889831,5.638466158,5.638312063
 01/05  06:00:00,2.493085679,2.492964033,2.492595143,2.492854418,2.492947927
 01/05  07:00:00,2.551708526,2.551419744,2.551158998,2.551458337,2.551565381
 01/05  08:00:00,0.849354756,0.84949432,0.849390646,0.849346931,0.849385255
 01/05  09:00:00,1.069678094,1.069748071,1.069733803,1.069698904,1.069699104
 01/05  10:00:00,1.174570182,1.17453354,1.174520295,1.174568729,1.17455559
 01/05  11:00:00,1.158821226,1.158797772,1.158788821,1.158824789,1.158834304
 01/05  12:00:00,1.183626557,1.183601681,1.183593527,1.183626347,1.183638171
 01/05  13:00:00,1.205232736,1.205232643,1.205279637,1.205229441,1.205213421
 01/05  14:00:00,1.102404141,1.102445823,1.102496244,1.102494947,1.102392846
 01/05  15:00:00,1.204191216,1.204110847,1.204041269,1.204294052,1.204197615
 01/05  16:00:00,1.181057806,1.181078344,1.181098009,1.181027375,1.181057967
 01/05  17:00:00,1.167023126,1.167029075,1.167050438,1.167032516,1.167024099
 01/05  18:00:00,1.198872223,1.19886007,1.198859684,1.198873878,1.198865051
 01/05  19:00:00,0.909844334,0.908480189,0.907804545,0.909115962,0.909523593
 01/05  20:00:00,2.629847924,2.628160596,2.626642748,2.628809868,2.62925711
 01/05  21:00:00,2.7261482,2.725797343,2.725214157,2.725846367,2.725951412
 01/05  22:00:00,2.636235932,2.63583449,2.635251725,2.6359159,2.636030529
 01/05  23:00:00,2.284557548,2.283439059,2.28143285,2.283465949,2.28389034
 01/05  24:00:00,2.75908633,2.758933504,2.758590219,2.758906139,2.75897682
 01/06  01:00:00,6.901216185,6.908899464,6.924536001,6.909809529,6.906282907
 01/06  02:00:00,6.954883634,6.955062194,6.955778369,6.955248895,6.955098865
 01/06  03:00:00,5.991885859,5.99192043,5.991957588,5.991913651,5.991901375
 01/06  04:00:00,5.134605283,5.134956988,5.135578289,5.134991232,5.134826911
 01/06  05:00:00,4.304522508,4.305151861,4.306536023,4.305331743,4.304990592
 01/06  06:00:00,4.380259474,4.380591065,4.381075963,4.380588209,4.380446875
 01/06  07:00:00,2.64661712,2.646440663,2.646170712,2.646436779,2.646513613
 01/06  08:00:00,0.816566892,0.816598493,0.816439928,0.816506158,0.816526554
 01/06  09:00:00,1.064667629,1.064825503,1.064837504,1.064727373,1.064747319
 01/06  10:00:00,1.181924869,1.181880271,1.181868898,1.18192164,1.181906288
 01/06  11:00:00,1.166109933,1.166087613,1.166096221,1.166113522,1.166127833
 01/06  12:00:00,1.190846364,1.190811535,1.190798383,1.190848349,1.190863772
 01/06  13:00:00,1.21389504,1.213808307,1.21372407,1.213877472,1.213845085
 01/06  14:00:00,1.115368737,1.115461436,1.115438697,1.115418409,1.115376055
 01/06  15:00:00,1.222594636,1.222532533,1.22251382,1.222602258,1.222596904
 01/06  16:00:00,1.195454309,1.195468108,1.195495258,1.195451981,1.1954541
 01/06  17:00:00,1.179857628,1.179854713,1.179845481,1.179856635,1.179858534
 01/06  18:00:00,1.228773964,1.228696635,1.228706768,1.22875646,1.228759089
 01/06  19:00:00,0.916644891,0.915169092,0.914999002,0.916289915,0.916288252
 01/06  20:00:00,2.610069021,2.608175692,2.607538906,2.609538818,2.609499478
 01/06  21:00:00,2.661234808,2.660582411,2.660243466,2.66103289,2.661014393
 01/06  22:00:00,2.597809383,2.597145337,2.596739599,2.597585498,2.597566335
 01/06  23:00:00,2.19500358,2.194343976,2.193857425,2.194746694,2.194727861
 01/06  24:00:00,2.752958078,2.752513017,2.752286758,2.752806945,2.752799124
 01/07  01:00:00,2.319457549,2.31850622,2.318051625,2.319136888,2.319118524
 01/07  02:00:00,4.424542366,4.424837904,4.424901459,4.424614019,4.424618806
 01/07  03:00:00,4.714018464,4.71470874,4.714985277,4.714222608,4.714233611
 01/07  04:00:00,6.857284164,6.857758018,6.85795364,6.857424539,6.857434374
 01/07  05:00:00,6.572489183,6.573140907,6.573424961,6.57269079,6.572704031
 01/07  06:00:00,3.506760972,3.50745921,3.507768434,3.506985744,3.507000308
 01/07  07:00:00,2.326509887,2.325948137,2.325793941,2.326360085,2.326349322
 01/07  08:00:00,0.936622923,0.93626257,0.936320917,0.93655894,0.936557674
 01/07  09:00:00,1.009197403,1.009612401,1.009466552,1.009242119,1.009260025
 01/07  10:00:00,1.21685856,1.216819206,1.216848935,1.216854095,1.2168614
 01/07  11:00:00,1.142608148,1.14263159,1.142632269,1.142607241,1.142608652
 01/07  12:00:00,1.223261179,1.223245323,1.22324722,1.223260065,1.22325248
 01/07  13:00:00,1.210164164,1.210152661,1.210146687,1.210166409,1.210158558
 01/07  14:00:00,1.104271189,1.104277339,1.104261948,1.104277711,1.104262479
 01/07  15:00:00,1.212848855,1.212786699,1.212825468,1.212858252,1.21284695
 01/07  16:00:00,1.186268783,1.186287044,1.186275579,1.186270091,1.186270544
 01/07  17:00:00,1.167245112,1.16723818,1.167232859,1.167246209,1.1672438
 01/07  18:00:00,1.237514787,1.237468972,1.237494468,1.237507003,1.237511585
