Target_Electricity_J,Target_Gas_J,Uncalibrated_Electricity_J,Uncalibrated_Gas_J
9314425.141,2386799.098,9372787.297,2449658.518
11026312.58,0,10964852.26,0
10830342.84,0,10755587.55,0
10643720.27,0,10559069.12,0
10461550.74,0,10368122.28,0
10294399.07,0,10192157.51,0
10169780.52,0,10058748.94,0
9887338.073,0,9775174.819,0
9817977.509,0,9704528.572,0
9670585.899,0,9556246.028,0
9542698.951,0,9427707.301,0
9427049.926,0,9311684.473,0
9317822.605,0,9202204.05,0
9190462.578,0,9075833.958,0
9069409.27,0,8955884.85,0
8957543.891,0,8845214.02,0
8840750.82,0,8729681.466,0
8727494.593,0,8617743.371,0
8287999.796,0,8199275.241,0
8222561.08,0,8138733.775,0
8158287.124,0,8079390.245,0
8095042.302,0,8021104.661,0
8035233.039,0,7966284.009,0
7979906.034,0,7915970.501,0
7926011.689,0,7867110.734,0
8285337.868,0,8237794.292,0
8253349.158,0,8204419.644,0
8217357.654,0,8167493.077,0
8179193.828,0,8128497.867,0
8144134.345,0,8092696.789,0
8104342.707,0,8052237.234,0
7977706.003,0,7925147.046,0
8022020.472,0,7967297.234,0
8081980.832,0,8024999.339,0
8144005.011,0,8084741.981,0
8216923.821,0,8155378.137,0
8296547.742,0,8232720.895,0
8295313.173,0,8230789.1,0
8297666.095,0,8232398.491,0
8303046.511,0,8237079.98,0
8319931.978,0,8253260.387,0
8340909.439,0,8273557.7,0
8365898.044,0,8297879.844,0
8342993.361,0,8275205.304,0
8323285.821,0,8255770.858,0
8306549.469,0,8239313.459,0
8285715.214,0,8218827.916,0
8259010.059,0,8192471.206,0
8236016.755,0,8169853.28,0
8275860.855,0,8209183.359,0
8322261.642,0,8255108.336,0
9373943.592,0,9306264.514,0
9416783.31,0,9348566.71,0
9456656.229,0,9387966.991,0
9499670.498,0,9430516.699,0
9119924.769,364594.0542,9157092.047,387007.6542
9195004.361,465040.0065,9234941.613,489076.2077
9249483.073,549570.0807,9291260.595,574466.7802
9296757.575,628764.6584,9340176.909,654470.2395
9340557.686,704337.8022,9385494.927,730724.6821
9380983.681,776581.2836,9427320.432,803558.322
7755634.31,0,7953725.792,0
7766380.094,0,7996795.085,0
7755848.701,0,7851085.926,0
7734753.311,0,7884167.942,0
