Date/Time,Electricity:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/05  16:00:00,105272079.3175783,58998559.12991538 
 01/05  17:00:00,105272079.3175783,109283311.93168816 
 01/05  18:00:00,87607411.2815028,57209385.145207848 
 01/05  19:00:00,74647423.82346502,44428324.070052009 
 01/05  20:00:00,74647423.82346502,97804520.46317898 
 01/05  21:00:00,60877444.67444614,122341647.12025564 
 01/05  22:00:00,60877444.67444614,133893447.57350993 
 01/05  23:00:00,47107465.52542727,147003270.3045198 
 01/05  24:00:00,40222475.95091783,162078685.54599134 
 01/06  01:00:00,34580257.57450944,1765221.1194761887 
 01/06  02:00:00,34580257.57450944,3458442.1442861335 
 01/06  03:00:00,34580257.57450944,1765214.7323873519 
 01/06  04:00:00,34580257.57450944,3458410.5825310174 
 01/06  05:00:00,34580257.57450944,1765216.1849503485 
 01/06  06:00:00,47107465.52542727,233278991.88929958 
 01/06  07:00:00,47107465.52542727,234763972.1515878 
 01/06  08:00:00,65415667.82346502,187620700.965047 
 01/06  09:00:00,105272079.3175783,254027419.10180373 
 01/06  10:00:00,105272079.3175783,175706105.02156345 
 01/06  11:00:00,105272079.3175783,180860510.6660818 
 01/06  12:00:00,105272079.3175783,86830418.2468136 
 01/06  13:00:00,105272079.3175783,25130493.55083095 
 01/06  14:00:00,105272079.3175783,39992985.07819499 
 01/06  15:00:00,108252147.43151884,6849893.800025871 
 01/06  16:00:00,107557376.68195729,5155626.009339269 
 01/06  17:00:00,105272079.3175783,36880161.87215868 
 01/06  18:00:00,87868756.45208724,9596515.119525318 
 01/06  19:00:00,75779520.23110579,3459481.2571756478 
 01/06  20:00:00,74691907.28032038,20435804.126428967 
 01/06  21:00:00,60877444.67444614,37230703.74023937 
 01/06  22:00:00,60877444.67444614,43846464.735899377 
 01/06  23:00:00,47107465.52542727,49811697.15197434 
 01/06  24:00:00,40222475.95091783,46638442.80408195 
 01/07  01:00:00,34580257.57450944,1765099.004471946 
 01/07  02:00:00,34580257.57450944,1765113.4969203969 
 01/07  03:00:00,34580257.57450944,1765133.053113831 
 01/07  04:00:00,34580257.57450944,3458220.7778240626 
 01/07  05:00:00,34580257.57450944,1765113.8943980302 
 01/07  06:00:00,47107465.52542727,53411463.59184519 
 01/07  07:00:00,47107465.52542727,57197111.62517209 
 01/07  08:00:00,65415667.82346502,29716226.699909908 
 01/07  09:00:00,105272079.3175783,66870435.50389844 
 01/07  10:00:00,105272079.3175783,42994445.56040646 
 01/07  11:00:00,105272079.3175783,84024557.12472628 
